Hour,Gross Sales,Friday,Monday,Saturday,Sunday,Thursday,Tuesday,Wednesday,Month,date,Year
20,58.37,1,0,0,0,0,0,0,2,1,2019
21,85.15,1,0,0,0,0,0,0,2,1,2019
22,120.44,1,0,0,0,0,0,0,2,1,2019
23,25.68,1,0,0,0,0,0,0,2,1,2019
12,111.65,0,0,1,0,0,0,0,2,2,2019
13,82.83,0,0,1,0,0,0,0,2,2,2019
14,135.61,0,0,1,0,0,0,0,2,2,2019
15,137.96,0,0,1,0,0,0,0,2,2,2019
16,194.62,0,0,1,0,0,0,0,2,2,2019
17,125.53,0,0,1,0,0,0,0,2,2,2019
18,125.69,0,0,1,0,0,0,0,2,2,2019
19,93.85,0,0,1,0,0,0,0,2,2,2019
20,133.54,0,0,1,0,0,0,0,2,2,2019
21,118.09,0,0,1,0,0,0,0,2,2,2019
22,185.7,0,0,1,0,0,0,0,2,2,2019
23,22.47,0,0,1,0,0,0,0,2,2,2019
0,14.95,0,0,0,1,0,0,0,2,3,2019
12,33.23,0,1,0,0,0,0,0,2,4,2019
13,73.5,0,1,0,0,0,0,0,2,4,2019
14,65.6,0,1,0,0,0,0,0,2,4,2019
15,68.71,0,1,0,0,0,0,0,2,4,2019
16,51.66,0,1,0,0,0,0,0,2,4,2019
17,207.63,0,1,0,0,0,0,0,2,4,2019
18,15.39,0,1,0,0,0,0,0,2,4,2019
19,66.8,0,1,0,0,0,0,0,2,4,2019
20,93.66,0,1,0,0,0,0,0,2,4,2019
21,87.67,0,1,0,0,0,0,0,2,4,2019
22,40.43,0,1,0,0,0,0,0,2,4,2019
23,18.99,0,1,0,0,0,0,0,2,4,2019
12,24.37,0,0,0,0,0,1,0,2,5,2019
13,56.22,0,0,0,0,0,1,0,2,5,2019
14,30.36,0,0,0,0,0,1,0,2,5,2019
15,20.98,0,0,0,0,0,1,0,2,5,2019
16,157.73,0,0,0,0,0,1,0,2,5,2019
17,123.08,0,0,0,0,0,1,0,2,5,2019
18,87.17,0,0,0,0,0,1,0,2,5,2019
19,119.99,0,0,0,0,0,1,0,2,5,2019
20,66.44,0,0,0,0,0,1,0,2,5,2019
21,42.15,0,0,0,0,0,1,0,2,5,2019
22,62.94,0,0,0,0,0,1,0,2,5,2019
23,17.64,0,0,0,0,0,1,0,2,5,2019
11,30.16,0,0,0,0,0,0,1,2,6,2019
12,31.57,0,0,0,0,0,0,1,2,6,2019
13,37.11,0,0,0,0,0,0,1,2,6,2019
14,36.34,0,0,0,0,0,0,1,2,6,2019
15,61.23,0,0,0,0,0,0,1,2,6,2019
16,78.79,0,0,0,0,0,0,1,2,6,2019
17,92.92,0,0,0,0,0,0,1,2,6,2019
18,95.34,0,0,0,0,0,0,1,2,6,2019
19,14.4,0,0,0,0,0,0,1,2,6,2019
20,45.71,0,0,0,0,0,0,1,2,6,2019
21,64.31,0,0,0,0,0,0,1,2,6,2019
22,66.21,0,0,0,0,0,0,1,2,6,2019
23,50.27,0,0,0,0,0,0,1,2,6,2019
12,39.51,0,0,0,0,1,0,0,2,7,2019
13,16.99,0,0,0,0,1,0,0,2,7,2019
14,53.23,0,0,0,0,1,0,0,2,7,2019
15,29.53,0,0,0,0,1,0,0,2,7,2019
16,113.3,0,0,0,0,1,0,0,2,7,2019
17,119.38,0,0,0,0,1,0,0,2,7,2019
18,100.81,0,0,0,0,1,0,0,2,7,2019
19,100.61,0,0,0,0,1,0,0,2,7,2019
20,109.23,0,0,0,0,1,0,0,2,7,2019
21,91.93,0,0,0,0,1,0,0,2,7,2019
22,7,0,0,0,0,1,0,0,2,7,2019
23,19.84,0,0,0,0,1,0,0,2,7,2019
12,33.77,1,0,0,0,0,0,0,2,8,2019
13,123.67,1,0,0,0,0,0,0,2,8,2019
14,60.2,1,0,0,0,0,0,0,2,8,2019
15,70.13,1,0,0,0,0,0,0,2,8,2019
16,87.03,1,0,0,0,0,0,0,2,8,2019
17,184.55,1,0,0,0,0,0,0,2,8,2019
18,70.45,1,0,0,0,0,0,0,2,8,2019
19,3.95,1,0,0,0,0,0,0,2,8,2019
20,105.74,1,0,0,0,0,0,0,2,8,2019
21,103.78,1,0,0,0,0,0,0,2,8,2019
22,268.05,1,0,0,0,0,0,0,2,8,2019
23,79.82,1,0,0,0,0,0,0,2,8,2019
12,108.82,0,0,1,0,0,0,0,2,9,2019
13,131.78,0,0,1,0,0,0,0,2,9,2019
14,196.63,0,0,1,0,0,0,0,2,9,2019
15,139.87,0,0,1,0,0,0,0,2,9,2019
16,61.16,0,0,1,0,0,0,0,2,9,2019
17,106.99,0,0,1,0,0,0,0,2,9,2019
18,72.23,0,0,1,0,0,0,0,2,9,2019
19,31.26,0,0,1,0,0,0,0,2,9,2019
20,43.69,0,0,1,0,0,0,0,2,9,2019
21,83.56,0,0,1,0,0,0,0,2,9,2019
22,144,0,0,1,0,0,0,0,2,9,2019
23,40.87,0,0,1,0,0,0,0,2,9,2019
12,77.02,0,0,0,1,0,0,0,2,10,2019
13,100.61,0,0,0,1,0,0,0,2,10,2019
14,55.35,0,0,0,1,0,0,0,2,10,2019
15,125.77,0,0,0,1,0,0,0,2,10,2019
16,98.19,0,0,0,1,0,0,0,2,10,2019
17,21.45,0,0,0,1,0,0,0,2,10,2019
18,126.88,0,0,0,1,0,0,0,2,10,2019
19,109.6,0,0,0,1,0,0,0,2,10,2019
20,79.31,0,0,0,1,0,0,0,2,10,2019
21,62.08,0,0,0,1,0,0,0,2,10,2019
22,37.02,0,0,0,1,0,0,0,2,10,2019
23,6.9,0,0,0,1,0,0,0,2,10,2019
12,28.04,0,1,0,0,0,0,0,2,11,2019
13,38.33,0,1,0,0,0,0,0,2,11,2019
14,12.1,0,1,0,0,0,0,0,2,11,2019
15,15.4,0,1,0,0,0,0,0,2,11,2019
16,28.63,0,1,0,0,0,0,0,2,11,2019
17,73.16,0,1,0,0,0,0,0,2,11,2019
18,40.61,0,1,0,0,0,0,0,2,11,2019
19,72.7,0,1,0,0,0,0,0,2,11,2019
20,55.77,0,1,0,0,0,0,0,2,11,2019
21,53.89,0,1,0,0,0,0,0,2,11,2019
22,27.03,0,1,0,0,0,0,0,2,11,2019
23,50.93,0,1,0,0,0,0,0,2,11,2019
